pty_id,ctr_ccode,lhelc_id,lhelc_date,pty_cab,tier1_avemag,leadact
18008,SWE,18014,1985-09-15,0,11.07,8.29
18008,SWE,18015,1988-09-18,0,11.07,8.29
18008,SWE,18016,1991-09-15,0,11.07,8.29
18008,SWE,18017,1994-09-18,0,10.69,8.29
18008,SWE,18018,1998-09-20,0,10.69,8.29
18008,SWE,18019,2002-09-15,0,10.69,8.29
18008,SWE,18020,2006-09-17,0,10.69,8.29
18004,SWE,18010,1973-09-16,0,11.07,16.05
18004,SWE,18011,1976-09-19,0,11.07,16.05
18004,SWE,18012,1979-09-16,0,11.07,16.05
18004,SWE,18013,1982-09-19,0,11.07,16.05
18004,SWE,18014,1985-09-15,0,11.07,16.05
18004,SWE,18015,1988-09-18,0,11.07,16.05
18004,SWE,18016,1991-09-15,0,11.07,16.05
18004,SWE,18017,1994-09-18,0,10.69,16.05
18004,SWE,18018,1998-09-20,0,10.69,16.05
18004,SWE,18019,2002-09-15,0,10.69,16.05
18004,SWE,18020,2006-09-17,0,10.69,16.05
18005,SWE,18010,1973-09-16,1,11.07,18.93
18005,SWE,18011,1976-09-19,1,11.07,18.93
18005,SWE,18012,1979-09-16,0,11.07,18.93
18005,SWE,18013,1982-09-19,0,11.07,18.93
18005,SWE,18014,1985-09-15,1,11.07,18.93
18005,SWE,18015,1988-09-18,1,11.07,18.93
18005,SWE,18016,1991-09-15,1,11.07,18.93
18005,SWE,18017,1994-09-18,0,10.69,18.93
18005,SWE,18018,1998-09-20,1,10.69,18.93
18005,SWE,18019,2002-09-15,1,10.69,18.93
18005,SWE,18020,2006-09-17,1,10.69,18.93
18003,SWE,18010,1973-09-16,0,11.07,18.74
18003,SWE,18011,1976-09-19,0,11.07,18.74
18003,SWE,18012,1979-09-16,1,11.07,18.74
18003,SWE,18013,1982-09-19,1,11.07,18.74
18003,SWE,18014,1985-09-15,0,11.07,18.74
18003,SWE,18015,1988-09-18,0,11.07,18.74
18003,SWE,18016,1991-09-15,0,11.07,18.74
18003,SWE,18017,1994-09-18,1,10.69,18.74
18003,SWE,18018,1998-09-20,0,10.69,18.74
18003,SWE,18019,2002-09-15,0,10.69,18.74
18003,SWE,18020,2006-09-17,0,10.69,18.74
18010,SWE,18013,1982-09-19,0,11.07,17.83
18010,SWE,18015,1988-09-18,0,11.07,17.83
18010,SWE,18016,1991-09-15,0,11.07,17.83
18010,SWE,18017,1994-09-18,1,10.69,17.83
18010,SWE,18018,1998-09-20,0,10.69,17.83
18010,SWE,18019,2002-09-15,0,10.69,17.83
18010,SWE,18020,2006-09-17,0,10.69,17.83
18001,SWE,18010,1973-09-16,0,11.07,18.74
18001,SWE,18011,1976-09-19,0,11.07,18.74
18001,SWE,18012,1979-09-16,0,11.07,18.74
18001,SWE,18013,1982-09-19,0,11.07,18.74
18001,SWE,18014,1985-09-15,0,11.07,18.74
18001,SWE,18015,1988-09-18,0,11.07,18.74
18001,SWE,18016,1991-09-15,0,11.07,18.74
18001,SWE,18017,1994-09-18,1,10.69,18.74
18001,SWE,18018,1998-09-20,0,10.69,18.74
18001,SWE,18019,2002-09-15,0,10.69,18.74
18001,SWE,18020,2006-09-17,0,10.69,18.74
18002,SWE,18010,1973-09-16,0,11.07,15.24
18002,SWE,18011,1976-09-19,0,11.07,15.24
18002,SWE,18012,1979-09-16,0,11.07,15.24
18002,SWE,18013,1982-09-19,1,11.07,15.24
18002,SWE,18014,1985-09-15,0,11.07,15.24
18002,SWE,18015,1988-09-18,0,11.07,15.24
18002,SWE,18016,1991-09-15,0,11.07,15.24
18002,SWE,18017,1994-09-18,1,10.69,15.24
18002,SWE,18018,1998-09-20,0,10.69,15.24
18002,SWE,18019,2002-09-15,0,10.69,15.24
18002,SWE,18020,2006-09-17,0,10.69,15.24
16006,NOR,16007,1969-09-07,0,8.16,9.99
16006,NOR,16008,1973-09-09,0,8.16,9.99
16006,NOR,16009,1977-09-11,0,8.16,9.99
16006,NOR,16010,1981-09-14,0,8.26,9.99
16006,NOR,16011,1985-09-08,0,8.26,9.99
16006,NOR,16012,1989-09-11,0,8.26,9.99
16006,NOR,16013,1993-09-13,0,8.26,9.99
16006,NOR,16014,1997-09-16,0,8.26,9.99
16006,NOR,16015,2001-09-10,0,7.89,9.99
16006,NOR,16016,2005-09-12,0,7.89,9.99
16001,NOR,16007,1969-09-07,0,8.16,17.94
16001,NOR,16008,1973-09-09,0,8.16,17.94
16001,NOR,16009,1977-09-11,1,8.16,17.94
16001,NOR,16010,1981-09-14,1,8.26,17.94
16001,NOR,16011,1985-09-08,0,8.26,17.94
16001,NOR,16012,1989-09-11,1,8.26,17.94
16001,NOR,16013,1993-09-13,1,8.26,17.94
16001,NOR,16014,1997-09-16,1,8.26,17.94
16007,NOR,16007,1969-09-07,1,8.16,11.81
16007,NOR,16008,1973-09-09,1,8.16,11.81
16007,NOR,16009,1977-09-11,0,8.16,11.81
16007,NOR,16010,1981-09-14,0,8.26,11.81
16007,NOR,16011,1985-09-08,0,8.26,11.81
16007,NOR,16012,1989-09-11,0,8.26,11.81
16007,NOR,16013,1993-09-13,0,8.26,11.81
16007,NOR,16014,1997-09-16,0,8.26,11.81
16007,NOR,16015,2001-09-10,0,7.89,11.81
16007,NOR,16016,2005-09-12,1,7.89,11.81
16004,NOR,16007,1969-09-07,1,8.16,16.1
16004,NOR,16008,1973-09-09,1,8.16,16.1
16004,NOR,16009,1977-09-11,0,8.16,16.1
16004,NOR,16010,1981-09-14,0,8.26,16.1
16004,NOR,16011,1985-09-08,1,8.26,16.1
16004,NOR,16012,1989-09-11,0,8.26,16.1
16004,NOR,16013,1993-09-13,0,8.26,16.1
16004,NOR,16014,1997-09-16,0,8.26,16.1
16004,NOR,16015,2001-09-10,0,7.89,16.1
16004,NOR,16016,2005-09-12,1,7.89,16.1
16003,NOR,16007,1969-09-07,1,8.16,19.05
16003,NOR,16008,1973-09-09,0,8.16,19.05
16003,NOR,16009,1977-09-11,0,8.16,19.05
16003,NOR,16010,1981-09-14,0,8.26,19.05
16003,NOR,16011,1985-09-08,1,8.26,19.05
16003,NOR,16012,1989-09-11,0,8.26,19.05
