choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
LPC,NDP,.056883734,.11041748,2563,.50220811,.37253898
LPC,BQ,.084511906,.099102616,2563,.50220811,.37253898
LPC,PCP,.043597177,.25907141,2563,.50220811,.37253898
LPC,LPC,.83366627,.36519703,2563,.50220811,.37253898
LPC,NoID,.25350511,.16621147,2563,.50220811,.37253898
PCP,LPC,.077972651,.36519703,2563,.50220811,.33697838
PCP,NoID,.34993616,.16621147,2563,.50220811,.33697838
PCP,NDP,.078521796,.11041748,2563,.50220811,.33697838
PCP,BQ,.11665948,.099102616,2563,.50220811,.33697838
PCP,PCP,.88820362,.25907141,2563,.50220811,.33697838
NDP,LPC,.05597762,.36519703,2563,.50220811,.17355774
NDP,BQ,.083751418,.099102616,2563,.50220811,.17355774
NDP,NoID,.25122392,.16621147,2563,.50220811,.17355774
NDP,PCP,.043204863,.25907141,2563,.50220811,.17355774
NDP,NDP,.83198297,.11041748,2563,.50220811,.17355774
BQ,LPC,.032383453,.36519703,2563,.50220811,.11692487
BQ,NDP,.032611519,.11041748,2563,.50220811,.11692487
BQ,PCP,.024994319,.25907141,2563,.50220811,.11692487
BQ,NoID,.14533481,.16621147,2563,.50220811,.11692487
BQ,BQ,.71507722,.099102616,2563,.50220811,.11692487
