FDP,CVP,SPS,SVP,LPS,LdU,EVP,CSP,PdA,SOL,FGA,GPS,SD,EDU,FPS,Lega,PID
2.6839471,2.0133355,3.1297252,2.2955298,1.0851183,.27818367,-.15589082,-3.3546448,-.21419331,-.8252489,-.20239626,1.1731638,.09924145,-.31409711,.48745838,0,3.7566423
.032759029,.030657327,.030659501,.030658845,.030657658,.030659232,.030657263,.030660434,.030658642,.030659225,.030659083,.030657215,.030659329,.030658016,.030659106,0,.000013706652
.030657327,.034359679,.030630454,.030653045,.030693838,.030639682,.030707477,.030598339,.03066,.030639909,.030644787,.030709116,.030636363,.030681534,.030644035,0,-.0004718352
.030659501,.030630454,.032103673,.030662091,.030637395,.030670183,.030629138,.030695213,.030657882,.030670045,.030667091,.030628145,.030672193,.030644843,.030667547,0,.00028566606
.030658845,.030653045,.030662091,.033787027,.03065443,.030660976,.030652782,.030665973,.030658521,.03066095,.030660359,.030652585,.030661378,.030655919,.03066045,0,.000057027039
.030657658,.030693838,.030637395,.03065443,.040204383,.030644353,.030695479,.030613177,.030659676,.030644525,.030648204,.030696714,.03064185,.030675914,.030647635,0,-.00035581505
.030659232,.030639682,.030670183,.030660976,.030644353,.054896131,.030638795,.03068327,.030658143,.030666329,.030664342,.030638129,.030667774,.030649368,.030664649,0,.00019226897
.030657263,.030707477,.030629138,.030652782,.030695479,.030638795,.062511422,.030595522,.030660061,.030639034,.030644139,.03071147,.030635322,.030682601,.030643351,0,-.00049385388
.030660434,.030598339,.030695213,.030665973,.030613177,.03068327,.030595522,1.0307368,.030656973,.030682974,.030676661,.030593403,.030687565,.0306291,.030677635,0,.00061068812
.030658642,.03066,.030657882,.030658521,.030659676,.030658143,.030660061,.030656973,.068525083,.030658148,.030658286,.030660108,.030658048,.030659327,.030658266,0,-.000013356782
.030659225,.030639909,.030670045,.03066095,.030644525,.030666329,.030639034,.030682974,.030658148,.10366985,.030664274,.030638374,.030667666,.030649479,.030664576,0,.00018996334
.030659083,.030644787,.030667091,.030660359,.030648204,.030664342,.030644139,.030676661,.030658286,.030664274,.069400981,.030643651,.030665331,.030651869,.030663045,0,.0001406044
.030657215,.030709116,.030628145,.030652585,.030696714,.030638129,.03071147,.030593403,.030660108,.030638374,.030643651,.039096203,.030634537,.030683404,.030642835,0,-.00051043561
.030659329,.030636363,.030672193,.030661378,.03064185,.030667774,.030635322,.030687565,.030658048,.030667666,.030665331,.030634537,.059859294,.03064774,.030665692,0,.00022586522
.030658016,.030681534,.030644843,.030655919,.030675914,.030649368,.030682601,.0306291,.030659327,.030649479,.030651869,.030683404,.03064774,.070431836,.0306515,0,-.00023129661
.030659106,.030644035,.030667547,.03066045,.030647635,.030664649,.030643351,.030677635,.030658266,.030664576,.030663045,.030642835,.030665692,.0306515,.050128903,0,.00014822262
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.000013706652,-.0004718352,.00028566606,.000057027039,-.00035581505,.00019226897,-.00049385388,.00061068812,-.000013356782,.00018996334,.0001406044,-.00051043561,.00022586522,-.00023129661,.00014822262,0,.0043091751
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
