choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
SPD,CDU.CSU,.037791919,.28931364,1151,.60528183,.53937894
SPD,NoID,.35114226,.17549956,1151,.60528183,.53937894
SPD,FDP,.049146637,.033014771,1151,.60528183,.53937894
SPD,SPD,.92637044,.50217205,1151,.60528183,.53937894
CDU.CSU,CDU.CSU,.93248338,.28931364,1151,.60528183,.35814235
CDU.CSU,SPD,.042289145,.50217205,1151,.60528183,.35814235
CDU.CSU,FDP,.052159928,.033014771,1151,.60528183,.35814235
CDU.CSU,NoID,.37267157,.17549956,1151,.60528183,.35814235
FDP,SPD,.031340402,.50217205,1151,.60528183,.10247875
FDP,FDP,.89869344,.033014771,1151,.60528183,.10247875
FDP,CDU.CSU,.029724719,.28931364,1151,.60528183,.10247875
FDP,NoID,.27618617,.17549956,1151,.60528183,.10247875
