choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
"SD","SD",.9623145,.1846074,1923,.4815736,.3114604
"SD","EL",.0505603,.0062402,1923,.4815736,.3114604
"SD","NoID",.2529477,.4934997,1923,.4815736,.3114604
"SD","FP",.0755114,.0067603,1923,.4815736,.3114604
"SD","RV",.0453894,.0171607,1923,.4815736,.3114604
"SD","CD",.0378733,.0062402,1923,.4815736,.3114604
"SD","KF",.0332231,.0655226,1923,.4815736,.3114604
"SD","KrF",.0780287,.0098804,1923,.4815736,.3114604
"SD","V",.0167868,.1580863,1923,.4815736,.3114604
"SD","SF",.0306316,.0405616,1923,.4815736,.3114604
"SD","DF",.0257929,.0114405,1923,.4815736,.3114604
"RV","EL",.0122829,.0062402,1923,.4815736,.0471607
"RV","CD",.0092008,.0062402,1923,.4815736,.0471607
"RV","KF",.008071,.0655226,1923,.4815736,.0471607
"RV","NoID",.0614499,.4934997,1923,.4815736,.0471607
"RV","DF",.006266,.0114405,1923,.4815736,.0471607
"RV","SF",.0074415,.0405616,1923,.4815736,.0471607
"RV","KrF",.0189559,.0098804,1923,.4815736,.0471607
"RV","V",.0040781,.1580863,1923,.4815736,.0471607
"RV","RV",.831585,.0171607,1923,.4815736,.0471607
"RV","FP",.0183444,.0067603,1923,.4815736,.0471607
"RV","SD",.0030999,.1846074,1923,.4815736,.0471607
"KF","EL",.0177645,.0062402,1923,.4815736,.1047588
"KF","V",.0058981,.1580863,1923,.4815736,.1047588
"KF","RV",.0159477,.0171607,1923,.4815736,.1047588
"KF","SD",.0044833,.1846074,1923,.4815736,.1047588
"KF","SF",.0107625,.0405616,1923,.4815736,.1047588
"KF","CD",.0133069,.0062402,1923,.4815736,.1047588
"KF","DF",.0090624,.0114405,1923,.4815736,.1047588
"KF","KrF",.0274156,.0098804,1923,.4815736,.1047588
"KF","NoID",.0888739,.4934997,1923,.4815736,.1047588
"KF","FP",.0265311,.0067603,1923,.4815736,.1047588
"KF","KF",.8803294,.0655226,1923,.4815736,.1047588
"CD","FP",.022781,.0067603,1923,.4815736,.0463856
"CD","NoID",.0763115,.4934997,1923,.4815736,.0463856
"CD","SD",.0038496,.1846074,1923,.4815736,.0463856
"CD","SF",.0092412,.0405616,1923,.4815736,.0463856
"CD","KF",.010023,.0655226,1923,.4815736,.0463856
"CD","RV",.0136935,.0171607,1923,.4815736,.0463856
"CD","DF",.0077814,.0114405,1923,.4815736,.0463856
"CD","EL",.0152535,.0062402,1923,.4815736,.0463856
