choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
EE,PCE,.0061117164,.0010438414,958,.67421228,.0066112089
EE,IU,.00061989954,.051148225,958,.67421228,.0066112089
EE,NoID,.0083882418,.5779413,958,.67421228,.0066112089
EE,CIU,.00092006038,.0093945721,958,.67421228,.0066112089
EE,EA,.0034359971,.0020876827,958,.67421228,.0066112089
EE,CDS,.00069037429,.027139874,958,.67421228,.0066112089
EE,HB,.0029047572,.0041753654,958,.67421228,.0066112089
EE,PP,.00035843725,.081419624,958,.67421228,.0066112089
EE,PNV,.0024466978,.0093945721,958,.67421228,.0066112089
EE,PSOE,.0001383526,.19728601,958,.67421228,.0066112089
EE,EE,.50859743,.003131524,958,.67421228,.0066112089
EE,PA,.0061117164,.0010438414,958,.67421228,.0066112089
PA,PCE,.0022364452,.0010438414,958,.67421228,.0021244725
PA,PNV,.00089531404,.0093945721,958,.67421228,.0021244725
PA,NoID,.0030694883,.5779413,958,.67421228,.0021244725
PA,CDS,.00025262695,.027139874,958,.67421228,.0021244725
PA,EA,.0012573259,.0020876827,958,.67421228,.0021244725
PA,PA,.27363127,.0010438414,958,.67421228,.0021244725
PA,HB,.0010629306,.0041753654,958,.67421228,.0021244725
PA,IU,.00022683828,.051148225,958,.67421228,.0021244725
PA,CIU,.00033667541,.0093945721,958,.67421228,.0021244725
PA,PP,.00013116206,.081419624,958,.67421228,.0021244725
PA,EE,.0015211139,.003131524,958,.67421228,.0021244725
PA,PSOE,.000050627023,.19728601,958,.67421228,.0021244725
IU,PNV,.030121259,.0093945721,958,.67421228,.10931154
IU,CDS,.0084991874,.027139874,958,.67421228,.10931154
IU,NoID,.10326751,.5779413,958,.67421228,.10931154
IU,PSOE,.0017032567,.19728601,958,.67421228,.10931154
IU,HB,.035760421,.0041753654,958,.67421228,.10931154
IU,PA,.075241245,.0010438414,958,.67421228,.10931154
IU,EA,.042300507,.0020876827,958,.67421228,.10931154
IU,PP,.0044127158,.081419624,958,.67421228,.10931154
IU,CIU,.011326849,.0093945721,958,.67421228,.10931154
IU,IU,.93373054,.051148225,958,.67421228,.10931154
IU,EE,.051175192,.003131524,958,.67421228,.10931154
IU,PCE,.075241245,.0010438414,958,.67421228,.10931154
PCE,PP,.00013116206,.081419624,958,.67421228,.0021244725
PCE,PA,.0022364452,.0010438414,958,.67421228,.0021244725
PCE,PSOE,.000050627023,.19728601,958,.67421228,.0021244725
PCE,CDS,.00025262695,.027139874,958,.67421228,.0021244725
PCE,CIU,.00033667541,.0093945721,958,.67421228,.0021244725
PCE,PNV,.00089531404,.0093945721,958,.67421228,.0021244725
PCE,HB,.0010629306,.0041753654,958,.67421228,.0021244725
PCE,NoID,.0030694883,.5779413,958,.67421228,.0021244725
PCE,EA,.0012573259,.0020876827,958,.67421228,.0021244725
PCE,IU,.00022683828,.051148225,958,.67421228,.0021244725
PCE,PCE,.27363127,.0010438414,958,.67421228,.0021244725
PCE,EE,.0015211139,.003131524,958,.67421228,.0021244725
PSOE,PCE,.358022,.0010438414,958,.67421228,.48877782
PSOE,PSOE,.991611,.19728601,958,.67421228,.48877782
PSOE,HB,.17015956,.0041753654,958,.67421228,.48877782
PSOE,PP,.020997118,.081419624,958,.67421228,.48877782
PSOE,PA,.358022,.0010438414,958,.67421228,.48877782
PSOE,CIU,.053896785,.0093945721,958,.67421228,.48877782
PSOE,PNV,.14332661,.0093945721,958,.67421228,.48877782
PSOE,EE,.243508,.003131524,958,.67421228,.48877782
PSOE,NoID,.49138001,.5779413,958,.67421228,.48877782
PSOE,CDS,.04044186,.027139874,958,.67421228,.48877782
PSOE,EA,.20127939,.0020876827,958,.67421228,.48877782
PSOE,IU,.036313478,.051148225,958,.67421228,.48877782
