choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
VIHR,KESK,.0069625527,.11161731,439,.48215497,.10111264
VIHR,SDP,.0084199775,.12984055,439,.48215497,.10111264
VIHR,KD,.029621262,.0091116177,439,.48215497,.10111264
VIHR,NoID,.12054455,.60820043,439,.48215497,.10111264
VIHR,VIHR,.88580573,.027334852,439,.48215497,.10111264
VIHR,VAS,.026152864,.025056947,439,.48215497,.10111264
VIHR,KOK,.008874801,.088838272,439,.48215497,.10111264
VAS,VIHR,.0084299911,.027334852,439,.48215497,.061267432
VAS,SDP,.0045348201,.12984055,439,.48215497,.061267432
VAS,NoID,.06492272,.60820043,439,.48215497,.061267432
VAS,VAS,.79712939,.025056947,439,.48215497,.061267432
VAS,KD,.015953377,.0091116177,439,.48215497,.061267432
VAS,KESK,.0037498819,.11161731,439,.48215497,.061267432
VAS,KOK,.0047797775,.088838272,439,.48215497,.061267432
SDP,VIHR,.031103011,.027334852,439,.48215497,.27442965
SDP,KD,.058861047,.0091116177,439,.48215497,.27442965
SDP,KOK,.017635308,.088838272,439,.48215497,.27442965
SDP,KESK,.013835439,.11161731,439,.48215497,.27442965
SDP,VAS,.051968917,.025056947,439,.48215497,.27442965
SDP,NoID,.23953669,.60820043,439,.48215497,.27442965
SDP,SDP,.94688201,.12984055,439,.48215497,.27442965
KD,VAS,.011979134,.025056947,439,.48215497,.042291775
KD,VIHR,.0071694227,.027334852,439,.48215497,.042291775
KD,KESK,.0031891481,.11161731,439,.48215497,.042291775
KD,SDP,.0038567113,.12984055,439,.48215497,.042291775
KD,KOK,.0040650396,.088838272,439,.48215497,.042291775
KD,NoID,.05521458,.60820043,439,.48215497,.042291775
KD,KD,.76783907,.0091116177,439,.48215497,.042291775
KOK,KOK,.94304109,.088838272,439,.48215497,.22749002
KOK,SDP,.015809659,.12984055,439,.48215497,.22749002
KOK,VIHR,.02938932,.027334852,439,.48215497,.22749002
KOK,KESK,.013073144,.11161731,439,.48215497,.22749002
KOK,NoID,.22633886,.60820043,439,.48215497,.22749002
KOK,KD,.055617962,.0091116177,439,.48215497,.22749002
KOK,VAS,.04910557,.025056947,439,.48215497,.22749002
KESK,KOK,.021604002,.088838272,439,.48215497,.29340845
KESK,VIHR,.038102511,.027334852,439,.48215497,.29340845
KESK,SDP,.020496823,.12984055,439,.48215497,.29340845
KESK,NoID,.29344261,.60820043,439,.48215497,.29340845
KESK,VAS,.063664131,.025056947,439,.48215497,.29340845
KESK,KD,.072107285,.0091116177,439,.48215497,.29340845
KESK,KESK,.95918983,.11161731,439,.48215497,.29340845
