choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
CON,NoID,.44104436,.073221214,3865,.59277713,.45287552
CON,CON,.93259799,.40103492,3865,.59277713,.45287552
CON,LAB,.10293892,.33505821,3865,.59277713,.45287552
CON,LP,.063386142,.19068564,3865,.59277713,.45287552
LAB,LP,.028547538,.19068564,3865,.59277713,.30198368
LAB,CON,.023952562,.40103492,3865,.59277713,.30198368
LAB,LAB,.81296301,.33505821,3865,.59277713,.30198368
LAB,NoID,.19863538,.073221214,3865,.59277713,.30198368
LP,LAB,.084098063,.33505821,3865,.59277713,.24514078
LP,CON,.043449424,.40103492,3865,.59277713,.24514078
LP,LP,.90806633,.19068564,3865,.59277713,.24514078
LP,NoID,.36032024,.073221214,3865,.59277713,.24514078
