choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
PvdA,D66,.011976498,.0073677162,1493,.47102568,.33264413
PvdA,ARP,.011331855,.057602145,1493,.47102568,.33264413
PvdA,VVD,.004215762,.052913595,1493,.47102568,.33264413
PvdA,NoID,.32731554,.68184865,1493,.47102568,.33264413
PvdA,KVP,.0044806967,.066309445,1493,.47102568,.33264413
PvdA,CHU,.014022318,.025452109,1493,.47102568,.33264413
PvdA,PvdA,.99391794,.10850637,1493,.47102568,.33264413
VVD,NoID,.22888181,.68184865,1493,.47102568,.20965083
VVD,PvdA,.0020694304,.10850637,1493,.47102568,.20965083
VVD,D66,.0083748009,.0073677162,1493,.47102568,.20965083
VVD,ARP,.0079240212,.057602145,1493,.47102568,.20965083
VVD,CHU,.0098053804,.025452109,1493,.47102568,.20965083
VVD,KVP,.0031332152,.066309445,1493,.47102568,.20965083
VVD,VVD,.99006814,.052913595,1493,.47102568,.20965083
D66,PvdA,.00071094849,.10850637,1493,.47102568,.061179012
D66,VVD,.0010127635,.052913595,1493,.47102568,.061179012
D66,CHU,.0033686182,.025452109,1493,.47102568,.061179012
D66,KVP,.0010764095,.066309445,1493,.47102568,.061179012
D66,NoID,.078631863,.68184865,1493,.47102568,.061179012
D66,D66,.96628708,.0073677162,1493,.47102568,.061179012
D66,ARP,.002722281,.057602145,1493,.47102568,.061179012
KVP,D66,.0078731542,.0073677162,1493,.47102568,.21339116
KVP,KVP,.98925632,.066309445,1493,.47102568,.21339116
KVP,NoID,.21517187,.68184865,1493,.47102568,.21339116
KVP,PvdA,.0019454723,.10850637,1493,.47102568,.21339116
KVP,CHU,.0092180427,.025452109,1493,.47102568,.21339116
KVP,ARP,.0074493759,.057602145,1493,.47102568,.21339116
KVP,VVD,.0027713729,.052913595,1493,.47102568,.21339116
ARP,CHU,.0035675291,.025452109,1493,.47102568,.11288219
ARP,VVD,.0010725654,.052913595,1493,.47102568,.11288219
ARP,ARP,.96826243,.057602145,1493,.47102568,.11288219
ARP,NoID,.083274938,.68184865,1493,.47102568,.11288219
ARP,KVP,.0011399697,.066309445,1493,.47102568,.11288219
ARP,D66,.0030470358,.0073677162,1493,.47102568,.11288219
ARP,PvdA,.00075292872,.10850637,1493,.47102568,.11288219
CHU,NoID,.066723965,.68184865,1493,.47102568,.070252679
CHU,KVP,.00091339956,.066309445,1493,.47102568,.070252679
CHU,ARP,.0023100227,.057602145,1493,.47102568,.070252679
CHU,CHU,.9600181,.025452109,1493,.47102568,.070252679
CHU,D66,.0024414344,.0073677162,1493,.47102568,.070252679
CHU,VVD,.00085939199,.052913595,1493,.47102568,.070252679
CHU,PvdA,.00060328341,.10850637,1493,.47102568,.070252679
