choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
"ROD","FrP",.0013517,.0017783,1687,.7236139,.0045321
"ROD","KrF",.000372,.0681683,1687,.7236139,.0045321
"ROD","SVP",.0007542,.0260818,1687,.7236139,.0045321
"ROD","H",.0002254,.1523414,1687,.7236139,.0045321
"ROD","NKP",.0052327,.0011855,1687,.7236139,.0045321
"ROD","SP",.0004687,.0551274,1687,.7236139,.0045321
"ROD","DNA",.0002048,.3562537,1687,.7236139,.0045321
"ROD","ROD",.5253392,.0035566,1687,.7236139,.0045321
"ROD","NoID",.0080118,.3046829,1687,.7236139,.0045321
"ROD","DLF",.0017225,.0065205,1687,.7236139,.0045321
"ROD","V",.0010114,.0243035,1687,.7236139,.0045321
"NKP","SVP",.0003675,.0260818,1687,.7236139,.0017158
"NKP","DNA",.0000998,.3562537,1687,.7236139,.0017158
"NKP","NoID",.0039041,.3046829,1687,.7236139,.0017158
"NKP","ROD",.0018681,.0035566,1687,.7236139,.0017158
"NKP","V",.0004928,.0243035,1687,.7236139,.0017158
"NKP","FrP",.0006586,.0017783,1687,.7236139,.0017158
"NKP","SP",.0002284,.0551274,1687,.7236139,.0017158
"NKP","KrF",.0001813,.0681683,1687,.7236139,.0017158
"NKP","NKP",.3494224,.0011855,1687,.7236139,.0017158
"NKP","H",.0001098,.1523414,1687,.7236139,.0017158
"NKP","DLF",.0008394,.0065205,1687,.7236139,.0017158
"SVP","NoID",.0707395,.3046829,1687,.7236139,.0472655
"SVP","SVP",.9125246,.0260818,1687,.7236139,.0472655
"SVP","FrP",.0119343,.0017783,1687,.7236139,.0472655
"SVP","DNA",.0018083,.3562537,1687,.7236139,.0472655
"SVP","V",.00893,.0243035,1687,.7236139,.0472655
"SVP","KrF",.0032847,.0681683,1687,.7236139,.0472655
"SVP","NKP",.0462019,.0011855,1687,.7236139,.0472655
"SVP","DLF",.0152089,.0065205,1687,.7236139,.0472655
"SVP","H",.0019901,.1523414,1687,.7236139,.0472655
"SVP","ROD",.0338484,.0035566,1687,.7236139,.0472655
"SVP","SP",.0041387,.0551274,1687,.7236139,.0472655
"DNA","SVP",.0263774,.0260818,1687,.7236139,.4407836
"DNA","H",.0078833,.1523414,1687,.7236139,.4407836
"DNA","KrF",.0130112,.0681683,1687,.7236139,.4407836
"DNA","DLF",.0602447,.0065205,1687,.7236139,.4407836
"DNA","ROD",.1340787,.0035566,1687,.7236139,.4407836
"DNA","DNA",.9815997,.3562537,1687,.7236139,.4407836
"DNA","V",.0353731,.0243035,1687,.7236139,.4407836
"DNA","NKP",.1830126,.0011855,1687,.7236139,.4407836
"DNA","FrP",.0472736,.0017783,1687,.7236139,.4407836
"DNA","NoID",.2802095,.3046829,1687,.7236139,.4407836
"DNA","SP",.016394,.0551274,1687,.7236139,.4407836
"V","KrF",.0023626,.0681683,1687,.7236139,.038238
"V","DNA",.0013007,.3562537,1687,.7236139,.038238
"V","H",.0014314,.1523414,1687,.7236139,.038238
"V","NoID",.0508803,.3046829,1687,.7236139,.038238
"V","SVP",.0047896,.0260818,1687,.7236139,.038238
"V","DLF",.0109392,.0065205,1687,.7236139,.038238
"V","V",.8801851,.0243035,1687,.7236139,.038238
"V","SP",.0029768,.0551274,1687,.7236139,.038238
"V","ROD",.024346,.0035566,1687,.7236139,.038238
"V","FrP",.0085839,.0017783,1687,.7236139,.038238
"V","NKP",.0332313,.0011855,1687,.7236139,.038238
"KrF","DNA",.003859,.3562537,1687,.7236139,.115449
"KrF","SVP",.0142106,.0260818,1687,.7236139,.115449
"KrF","H",.004247,.1523414,1687,.7236139,.115449
"KrF","SP",.0088321,.0551274,1687,.7236139,.115449
"KrF","KrF",.9605758,.0681683,1687,.7236139,.115449
"KrF","NKP",.0985963,.0011855,1687,.7236139,.115449
"KrF","V",.0190569,.0243035,1687,.7236139,.115449
"KrF","NoID",.1509602,.3046829,1687,.7236139,.115449
"KrF","FrP",.0254682,.0017783,1687,.7236139,.115449
"KrF","ROD",.0722336,.0035566,1687,.7236139,.115449
"KrF","DLF",.0324563,.0065205,1687,.7236139,.115449
"SP","H",.003328,.1523414,1687,.7236139,.0914323
"SP","DLF",.0254331,.0065205,1687,.7236139,.0914323
"SP","NoID",.1182942,.3046829,1687,.7236139,.0914323
"SP","FrP",.0199572,.0017783,1687,.7236139,.0914323
"SP","KrF",.0054929,.0681683,1687,.7236139,.0914323
"SP","SP",.9484149,.0551274,1687,.7236139,.0914323
"SP","DNA",.003024,.3562537,1687,.7236139,.0914323
"SP","V",.0149332,.0243035,1687,.7236139,.0914323
"SP","SVP",.0111356,.0260818,1687,.7236139,.0914323
"SP","ROD",.0566031,.0035566,1687,.7236139,.0914323
