choice,party_id,Phat,nrpid_prop,nobs,pseudo,share
SKP.VPK.V,SAP,.0033400876,.20738137,1138,.47741178,.069574982
SKP.VPK.V,FP,.0075175655,.027240774,1138,.47741178,.069574982
SKP.VPK.V,H.M,.0028785407,.10720562,1138,.47741178,.069574982
SKP.VPK.V,NoID,.056245547,.51230228,1138,.47741178,.069574982
SKP.VPK.V,SKP.VPK.V,.78704089,.04920914,1138,.47741178,.069574982
SKP.VPK.V,BF.C,.0081263054,.03778559,1138,.47741178,.069574982
SKP.VPK.V,KdS,.0084059434,.030755712,1138,.47741178,.069574982
SKP.VPK.V,MP,.0092112003,.028119508,1138,.47741178,.069574982
SAP,KdS,.038799811,.030755712,1138,.47741178,.34032387
SAP,BF.C,.037509073,.03778559,1138,.47741178,.34032387
SAP,MP,.042516682,.028119508,1138,.47741178,.34032387
SAP,H.M,.013286651,.10720562,1138,.47741178,.34032387
SAP,SAP,.95603299,.20738137,1138,.47741178,.34032387
SAP,SKP.VPK.V,.058582589,.04920914,1138,.47741178,.34032387
SAP,FP,.034699272,.027240774,1138,.47741178,.34032387
SAP,NoID,.25961593,.51230228,1138,.47741178,.34032387
BF.C,H.M,.0049670497,.10720562,1138,.47741178,.08662913
BF.C,SAP,.0057634697,.20738137,1138,.47741178,.08662913
BF.C,SKP.VPK.V,.021900376,.04920914,1138,.47741178,.08662913
BF.C,BF.C,.86954319,.03778559,1138,.47741178,.08662913
BF.C,KdS,.014504828,.030755712,1138,.47741178,.08662913
BF.C,NoID,.097054191,.51230228,1138,.47741178,.08662913
BF.C,MP,.015894335,.028119508,1138,.47741178,.08662913
BF.C,FP,.012971894,.027240774,1138,.47741178,.08662913
FP,BF.C,.015349522,.03778559,1138,.47741178,.083042443
FP,KdS,.01587772,.030755712,1138,.47741178,.083042443
FP,FP,.88054353,.027240774,1138,.47741178,.083042443
FP,NoID,.10624044,.51230228,1138,.47741178,.083042443
FP,SAP,.0063089863,.20738137,1138,.47741178,.083042443
FP,SKP.VPK.V,.023973262,.04920914,1138,.47741178,.083042443
FP,H.M,.0054371846,.10720562,1138,.47741178,.083042443
FP,MP,.017398745,.028119508,1138,.47741178,.083042443
H.M,NoID,.30387092,.51230228,1138,.47741178,.27173778
H.M,KdS,.045413759,.030755712,1138,.47741178,.27173778
H.M,SAP,.018045081,.20738137,1138,.47741178,.27173778
H.M,BF.C,.043902993,.03778559,1138,.47741178,.27173778
H.M,FP,.040614229,.027240774,1138,.47741178,.27173778
H.M,SKP.VPK.V,.068568781,.04920914,1138,.47741178,.27173778
H.M,H.M,.96437341,.10720562,1138,.47741178,.27173778
H.M,MP,.04976422,.028119508,1138,.47741178,.27173778
KdS,SKP.VPK.V,.021048786,.04920914,1138,.47741178,.078350469
KdS,NoID,.093280278,.51230228,1138,.47741178,.078350469
KdS,SAP,.0055393591,.20738137,1138,.47741178,.078350469
KdS,MP,.01527629,.028119508,1138,.47741178,.078350469
KdS,H.M,.0047739078,.10720562,1138,.47741178,.078350469
KdS,BF.C,.013477049,.03778559,1138,.47741178,.078350469
KdS,KdS,.86448997,.030755712,1138,.47741178,.078350469
KdS,FP,.012467486,.027240774,1138,.47741178,.078350469
MP,MP,.84993851,.028119508,1138,.47741178,.070341326
MP,BF.C,.012091845,.03778559,1138,.47741178,.070341326
MP,FP,.011186047,.027240774,1138,.47741178,.070341326
MP,KdS,.012507943,.030755712,1138,.47741178,.070341326
MP,SAP,.0049700104,.20738137,1138,.47741178,.070341326
MP,SKP.VPK.V,.018885341,.04920914,1138,.47741178,.070341326
MP,H.M,.004283234,.10720562,1138,.47741178,.070341326
MP,NoID,.0836927,.51230228,1138,.47741178,.070341326
