pty_id,ctr_ccode,lhelc_date,lh_id,lhelc_id,lhelc_prv_id,pty_lwr_v2,pty_upr_v2,pty_abr,cmp_id
2003,AUT,1970-03-01,2008,2008,2007,0,0.050070764,KPO,42220
2002,AUT,1970-03-01,2008,2008,2007,0.461282172,0.490282172,SPO,42320
2007,AUT,1970-03-01,2008,2008,2007,0.044865811,0.571865811,FPO,42420
2001,AUT,1970-03-01,2008,2008,2007,0.439224399,0.468224399,OVP,42520
2999,AUT,1970-03-01,2008,2008,2007,NA,NA,Other,NA
2003,AUT,1971-10-10,2009,2009,2008,0,0.014629084,KPO,42220
2002,AUT,1971-10-10,2009,2009,2008,0.492408712,1,SPO,42320
2007,AUT,1971-10-10,2009,2009,2008,0.004584201,0.066584201,FPO,42420
2001,AUT,1971-10-10,2009,2009,2008,0,0.438963735,OVP,42520
2999,AUT,1971-10-10,2009,2009,2008,NA,NA,Other,NA
2003,AUT,1975-10-05,2010,2010,2009,0,0.012928647,KPO,42220
2002,AUT,1975-10-05,2010,2010,2009,0.495223537,1,SPO,42320
2007,AUT,1975-10-05,2010,2010,2009,0,0.064069075,FPO,42420
2001,AUT,1975-10-05,2010,2010,2009,0,0.438461407,OVP,42520
2999,AUT,1975-10-05,2010,2010,2009,NA,NA,Other,NA
2002,AUT,1979-05-06,2011,2011,2010,0.490276574,1,SPO,42320
2007,AUT,1979-05-06,2011,2011,2010,0.0016318,0.0886318,FPO,42420
2001,AUT,1979-05-06,2011,2011,2010,0,0.43903866,OVP,42520
2999,AUT,1979-05-06,2011,2011,2010,NA,NA,Other,NA
2003,AUT,1983-04-24,2012,2012,2011,NA,NA,KPO,42220
2002,AUT,1983-04-24,2012,2012,2011,0.418490382,0.484490382,SPO,42320
2007,AUT,1983-04-24,2012,2012,2011,0,0.571816687,FPO,42420
2001,AUT,1983-04-24,2012,2012,2011,0.42422285,0.49122285,OVP,42520
2999,AUT,1983-04-24,2012,2012,2011,NA,NA,Other,NA
2008,AUT,1986-11-23,2013,2013,2012,0,0.098231437,Gruene,42110
2002,AUT,1986-11-23,2013,2013,2012,0.391150648,0.451150648,SPO,42320
2007,AUT,1986-11-23,2013,2013,2012,0.064317952,0.475317952,FPO,42420
2001,AUT,1986-11-23,2013,2013,2012,0.3919401,0.4489401,OVP,42520
2999,AUT,1986-11-23,2013,2013,2012,NA,NA,Other,NA
2008,AUT,1990-10-07,2014,2014,2013,0,0.075821157,Gruene,42110
2003,AUT,1990-10-07,2014,2014,2013,0,0.0314596,KPO,42220
2002,AUT,1990-10-07,2014,2014,2013,0.302841793,0.435841793,SPO,42320
2007,AUT,1990-10-07,2014,2014,2013,0.125350455,0.423350455,FPO,42420
2001,AUT,1990-10-07,2014,2014,2013,0.310632756,0.443632756,OVP,42520
2999,AUT,1990-10-07,2014,2014,2013,NA,NA,Other,NA
2008,AUT,1994-10-09,2015,2015,2014,0,0.111069214,Gruene,42110
2003,AUT,1994-10-09,2015,2015,2014,0,0.083572568,KPO,42220
2002,AUT,1994-10-09,2015,2015,2014,0.266182861,0.368182861,SPO,42320
2007,AUT,1994-10-09,2015,2015,2014,0.159974391,0.397974391,FPO,42420
2009,AUT,1994-10-09,2015,2015,2014,0,0.081696351,LIF,42421
2001,AUT,1994-10-09,2015,2015,2014,0.258670507,0.378670507,OVP,42520
2999,AUT,1994-10-09,2015,2015,2014,NA,NA,Other,NA
2008,AUT,1995-12-17,2016,2016,2015,0,0.101141964,Gruene,42110
2002,AUT,1995-12-17,2016,2016,2015,0.252554947,0.390554947,SPO,42320
2007,AUT,1995-12-17,2016,2016,2015,0.199897426,0.399897426,FPO,42420
2009,AUT,1995-12-17,2016,2016,2015,0.008123135,0.063123135,LIF,42421
2001,AUT,1995-12-17,2016,2016,2015,0.271919293,0.405919293,OVP,42520
2999,AUT,1995-12-17,2016,2016,2015,NA,NA,Other,NA
2008,AUT,1996-10-13,2017,2017,2016,0,0.074141964,Gruene,42110
2003,AUT,1996-10-13,2017,2017,2016,NA,NA,KPO,42220
2002,AUT,1996-10-13,2017,2017,2016,0.257554947,0.389554947,SPO,42320
2007,AUT,1996-10-13,2017,2017,2016,0.203897426,0.446897426,FPO,42420
2009,AUT,1996-10-13,2017,2017,2016,0.000123135,0.064123135,LIF,42421
2001,AUT,1996-10-13,2017,2017,2016,0.272919293,0.411919293,OVP,42520
2999,AUT,1996-10-13,2017,2017,2016,NA,NA,Other,NA
2008,AUT,1999-10-03,2018,2018,2017,0,0.221044524,Gruene,42110
2003,AUT,1999-10-03,2018,2018,2017,NA,NA,KPO,42220
2002,AUT,1999-10-03,2018,2018,2017,0.194529779,0.405529779,SPO,42320
2007,AUT,1999-10-03,2018,2018,2017,0.108145764,0.414145764,FPO,42420
2009,AUT,1999-10-03,2018,2018,2017,0,0.037477518,LIF,42421
2001,AUT,1999-10-03,2018,2018,2017,0.202055983,0.431055983,OVP,42520
2999,AUT,1999-10-03,2018,2018,2017,NA,NA,Other,NA
2008,AUT,2002-11-24,2020,2019,2018,0.066707458,0.174707458,Gruene,42110
2008,AUT,2002-11-24,2019,2019,2018,0.062707458,0.173707458,Gruene,42110
2003,AUT,2002-11-24,2020,2019,2018,NA,NA,KPO,42220
2003,AUT,2002-11-24,2019,2019,2018,NA,NA,KPO,42220
2002,AUT,2002-11-24,2020,2019,2018,0.317097476,0.390097476,SPO,42320
2002,AUT,2002-11-24,2019,2019,2018,0.274097476,0.389097476,SPO,42320
2007,AUT,2002-11-24,2020,2019,2018,0.065074038,0.176074038,FPO,42420
2007,AUT,2002-11-24,2019,2019,2018,0.036074038,0.127074038,FPO,42420
2009,AUT,2002-11-24,2020,2019,2018,NA,NA,LIF,42421
2009,AUT,2002-11-24,2019,2019,2018,NA,NA,LIF,42421
2001,AUT,2002-11-24,2020,2019,2018,0.395010829,0.462010829,OVP,42520
2001,AUT,2002-11-24,2019,2019,2018,0.395010829,0.491010829,OVP,42520
2010,AUT,2002-11-24,2020,2019,2018,NA,NA,BZO,42710
2999,AUT,2002-11-24,2019,2019,2018,NA,NA,Other,NA
2999,AUT,2002-11-24,2020,2019,2018,NA,NA,Other,NA
2008,AUT,2006-10-01,2021,2020,2019,0.007469511,0.130469511,Gruene,42110
2003,AUT,2006-10-01,2021,2020,2019,0,0.353105359,KPO,42220
2002,AUT,2006-10-01,2021,2020,2019,0.347419092,0.366419092,SPO,42320
2007,AUT,2006-10-01,2021,2020,2019,0.011358428,0.122358428,FPO,42420
2001,AUT,2006-10-01,2021,2020,2019,0.321331786,0.350331786,OVP,42520
2010,AUT,2006-10-01,2021,2020,2019,0.031103225,0.075103225,BZO,42710
2999,AUT,2006-10-01,2021,2020,2019,NA,NA,Other,NA
2008,AUT,2008-09-28,2022,2021,2020,0,0.229338809,Gruene,42110
2002,AUT,2008-09-28,2022,2021,2020,0.272636705,0.295636705,SPO,42320
2007,AUT,2008-09-28,2022,2021,2020,0.067358055,0.178358055,FPO,42420
2001,AUT,2008-09-28,2022,2021,2020,0.255786316,0.280786316,OVP,42520
2010,AUT,2008-09-28,2022,2021,2020,0.048998146,0.212998146,BZO,42710
